FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
IMJPDSVR.EXE,28,6.1,53976,0,1504,11092,4,69887,33088,15872,262144,clean
IMJPMGR.EXE,28,6.1,19576,0,51232,2628,5,138663,33088,57344,262144,clean
imjppdmg.exe,28,6.1,22992,0,1504,2684,4,73293,33088,6656,262144,clean
IMJPUEX.EXE,28,6.1,12824,0,44848,1572,4,83430,33088,48128,262144,clean
imjpuexc.exe,28,6.1,89052,0,10208,8132,4,153064,33088,23552,262144,clean
IMSCPROP.exe,28,6.1,55248,0,29312,1944,4,148797,33088,35840,262144,clean
IMTCPROP.exe,28,6.1,60136,0,273992,24744,4,393262,33088,304640,262144,clean
inetinfo.exe,28,6.1,11460,0,2040,1064,4,28158,33088,4608,262144,clean
InetMgr.exe,28,6.1,9916,0,113776,1684,4,130463,33088,117760,262144,clean
InetMgr6.exe,28,6.1,8460,0,13688,2756,4,54492,33088,17920,262144,clean
InfDefaultInstall.exe,28,6.1,7124,0,2472,888,4,68548,33088,4096,262144,clean
infocard.exe,28,0.0,778452,0,70168,526104,5,903162,320,614400,1048576,clean
InkWatson.exe,56,6.1,152684,0,166296,2456,4,380174,33088,178688,262144,clean
InputPersonalization.exe,56,6.1,220116,0,58096,4330,4,340136,33088,72192,262144,clean
InstallUtil.exe,28,0.0,29460,0,1664,1664,3,57245,34144,2560,1048576,clean
invalidateFntcache.exe,28,6.1,6572,0,1080,888,4,36564,33088,3072,262144,clean
ipconfig.exe,56,6.1,22384,0,2104,1744,4,40796,33088,5632,262144,clean
ipsec6.exe,28,5.1,35564,0,7640,11484,3,61492,32768,19456,262144,clean
ipv6.exe,28,5.1,50772,0,1000,10392,3,117015,32768,11776,262144,clean
ipxroute.exe,28,5.1,13744,0,10280,384,3,25985,32768,11264,262144,clean
irftp.exe,28,6.1,91316,0,63232,30360,4,225555,33088,101888,262144,clean
iscsicli.exe,28,6.1,34316,0,107720,17300,4,175728,33088,127488,262144,clean
iscsicpl.exe,28,6.1,7524,0,112456,896,4,122633,33088,114688,262144,clean
isintsup.exe,28,6.1,12412,0,1032,5332,4,34691,33088,8704,262144,clean
isoburn.exe,28,6.1,27828,0,56088,1448,4,119000,33088,59904,262144,clean
java.exe,28,0.0,92792,0,32552,17104,4,207361,0,69632,327680,clean
javaw.exe,28,0.0,92824,0,32560,17190,4,172512,0,69632,327680,clean
javaws.exe,28,0.0,92904,0,32304,9526,4,219058,0,110592,1048576,clean
Journal.exe,28,6.1,805680,0,895304,23888,4,1832433,33088,975360,262144,clean
jsc.exe,28,0.0,36416,0,1504,1504,3,55817,34144,2048,1048576,clean
junction.exe,28,0.0,140820,0,1296,24786,4,201779,32768,30720,1048576,clean
kd.exe,28,6.3,86540,0,23464,26476,6,139203,49472,58880,262144,clean
kdbgctrl.exe,28,6.3,24808,0,2496,5908,5,52151,49472,11264,262144,clean
kdsrv.exe,28,6.3,148136,0,2472,126204,7,220820,49472,20992,262144,clean
kill.exe,28,6.3,2986288,0,2440,2967012,5,94450,49472,2972672,262144,clean
klist.exe,28,6.1,29016,0,1328,1792,4,51191,33088,5632,262144,clean
ksetup.exe,28,6.1,31500,0,1288,5348,4,101537,33088,9728,262144,clean
ktmutil.exe,28,6.1,11516,0,2080,1064,4,33055,33088,5120,262144,clean
label.exe,28,6.1,10692,0,2016,888,4,48364,33088,4096,262144,clean
lc.exe,28,0.0,37844,0,1568,1568,3,71844,34144,2560,1048576,clean
ldmdump.exe,0,0.0,29960,0,0,2958,3,173083,0,122880,1048576,clean
lights.exe,28,5.1,7812,0,22976,436,3,62981,32768,23552,262144,clean
LinqWebConfig.exe,28,9.0,70700,0,1508,77468,4,90215,33088,11776,1048576,clean
list.exe,28,6.3,57768,0,2424,5056,5,97580,49472,15872,262144,clean
Listdlls.exe,28,0.0,227652,0,279884,30316,4,531596,32768,316416,1048576,clean
livekd.exe,0,0.0,127788,0,320968,41174,4,515411,33024,378368,1048576,clean
lnkstub.exe,28,5.1,14796,0,9544,2516,3,69788,32768,12288,262144,clean
loader.exe,0,0.0,468212,0,356648,448080,5,874482,33088,812032,1048576,clean
loadmxf.exe,28,0.0,14492,0,86672,86672,3,117944,34112,94208,1048576,clean
